Text,Color,Video
"While the guard rails were down at a newly-built crossing, the lady made a serious error of judgement , deciding she could cross the tracks before the train reached her",PINK (5),Video F
"And that’s exactly what happened . T he woman and her bike met their end with the train, right on schedule .",RED (6),Video F
"In 882C.E., a t the lustful age of 18, Louis fell for a girl in Saint-Denis on the outskirts of Paris",BRIGHT_GREEN (4),Video F
"One day, he spotted her making her way through town, and mounted his horse to pursue her.",TURQUOISE (3),Video F
"But, with his attention totally fixed upon his love interest, he failed to spot the low-hangin g lintel of a doorway ahead of him",PINK (5),Video F
"Moving at speed, he crashed head-first into the frame and fell, fatally fracturing his skull",RED (6),Video F
"After kicking her boyfriend out of her house in November 2007, a Florida woman hadn’t hoped to see him on the premises again for a while",YELLOW (7),Video F
"You see, he’d tried to enter through the cat flap, presumably hoping to unlock the door. He’d delved in, got one arm through followed by his head",BRIGHT_GREEN (4),Video F
". In this embarrassing position, he’d died, presumably from asphyxiation,",RED (6),Video F
"combined with the strong currents of the river, made an escape nearly impossible. Without the necessary preparations, Lahiri seemed to have grossly underestimated the difficulty",TURQUOISE (3),Video F
the man had asked his cousin to cut his leg off with a chainsaw .,RED (6),Video F
". But, while the DIY amputation was being performed, extreme blood loss set in, and the would-be fraudster died from his gruesome injuries.",PINK (5),Video F
